Time (s),White Line Pos,User Input,Actual Position,Margin of Error
6.814373,WLP,INPUT,0,Margin of Error
6.835395,WLP,INPUT,0,Margin of Error
6.85582,WLP,INPUT,0,Margin of Error
6.875805,WLP,INPUT,0,Margin of Error
6.894836,WLP,INPUT,0,Margin of Error
6.915801,WLP,INPUT,0,Margin of Error
6.933767,WLP,INPUT,0,Margin of Error
6.954265,WLP,INPUT,0,Margin of Error
6.970011,WLP,INPUT,0,Margin of Error
6.994885,WLP,INPUT,0,Margin of Error
7.015276,WLP,INPUT,0,Margin of Error
7.035271,WLP,INPUT,0,Margin of Error
7.05578,WLP,INPUT,0,Margin of Error
7.075823,WLP,INPUT,0,Margin of Error
7.09528,WLP,INPUT,0,Margin of Error
7.115773,WLP,INPUT,0,Margin of Error
7.135312,WLP,INPUT,0,Margin of Error
7.154778,WLP,INPUT,0,Margin of Error
7.174865,WLP,INPUT,0,Margin of Error
7.19546,WLP,INPUT,0,Margin of Error
7.214541,WLP,INPUT,0,Margin of Error
7.233551,WLP,INPUT,0,Margin of Error
7.254809,WLP,INPUT,0,Margin of Error
7.274792,WLP,INPUT,0,Margin of Error
7.295773,WLP,INPUT,0,Margin of Error
7.315359,WLP,INPUT,0,Margin of Error
7.335771,WLP,INPUT,0,Margin of Error
7.355299,WLP,INPUT,0,Margin of Error
7.374621,WLP,INPUT,0,Margin of Error
7.395813,WLP,INPUT,0,Margin of Error
7.41531,WLP,INPUT,0,Margin of Error
7.435795,WLP,INPUT,0,Margin of Error
7.45581,WLP,INPUT,0,Margin of Error
7.475309,WLP,INPUT,0,Margin of Error
7.495322,WLP,INPUT,0,Margin of Error
7.514822,WLP,INPUT,0,Margin of Error
7.535018,WLP,INPUT,0,Margin of Error
7.5548,WLP,INPUT,0,Margin of Error
7.57154,WLP,INPUT,0,Margin of Error
7.59487,WLP,INPUT,0,Margin of Error
7.614418,WLP,INPUT,0,Margin of Error
7.634827,WLP,INPUT,0,Margin of Error
7.655324,WLP,INPUT,0,Margin of Error
7.67562,WLP,INPUT,0,Margin of Error
7.695298,WLP,INPUT,0,Margin of Error
7.715324,WLP,INPUT,0,Margin of Error
7.734856,WLP,INPUT,0,Margin of Error
7.754904,WLP,INPUT,0,Margin of Error
7.774804,WLP,INPUT,0,Margin of Error
7.795343,WLP,INPUT,0,Margin of Error
7.81478,WLP,INPUT,0,Margin of Error
7.834274,WLP,INPUT,0,Margin of Error
7.854861,WLP,INPUT,0,Margin of Error
