Time (s),White Line Pos,User Input,Actual Position,Margin of Error,Coins Collected
4.503053,0.1077533,.4,0.01454667,186.5,N/A
4.52188,0.1077533,.4,0.01454667,186.5,N/A
4.543057,0.1077533,.4,0.01454667,186.5,N/A
4.562473,0.1077533,.4,0.01454667,186.5,N/A
4.581121,0.1077533,.4,0.01454667,186.5,N/A
4.602144,0.1077533,.4,0.01454667,186.5,N/A
4.622163,0.1077533,.4,0.01454667,186.5,N/A
4.641993,0.1077533,,0.01454667,186.5,N/A
4.663344,0.1077533,,0.01454667,186.5,N/A
4.682098,0.1077533,,0.01454667,186.5,N/A
4.702349,0.1077533,,0.01454667,186.5,N/A
4.723486,0.1077533,,0.01454667,186.5,N/A
4.741513,0.0571597,4,0.01454667,174.5508,N/A
4.762541,0.0725,4,0.01454667,179.9356,N/A
4.783568,0.07250001,4,0.01454667,179.9356,N/A
4.802554,0.07250001,4,0.01454667,179.9356,N/A
4.822286,0.0725,.4,0.01454667,179.9356,N/A
4.841543,0.0725,.4,0.01454667,179.9356,N/A
4.863528,0.07250001,.4,0.01454667,179.9356,N/A
4.883571,0.0725,.4,0.01454667,179.9356,N/A
4.901385,0.07250001,.4,0.01454667,179.9356,N/A
4.922832,0.0725,.4,0.01454667,179.9356,N/A
4.941442,0.07250001,.4,0.01454667,179.9356,N/A
4.962454,0.07250001,.4,0.01454667,179.9356,N/A
4.983057,0.07250001,.4,0.01454667,179.9356,N/A
5.003568,0.07250001,.4,0.01454667,179.9356,N/A
5.022618,0.0725,.4,0.01454667,179.9356,N/A
5.042689,0.0725,.4,0.01454667,179.9356,N/A
5.063043,0.0725,.4,0.01454667,179.9356,N/A
5.083426,0.07250001,.4,0.01454667,179.9356,N/A
5.101368,0.07250001,,0.01454667,179.9356,N/A
5.122039,0.0725,,0.01454667,179.9356,N/A
5.14263,0.0725,,0.01454667,179.9356,N/A
5.162615,0.0725,,0.01454667,179.9356,N/A
5.183332,0.0725,,0.01454667,179.9356,N/A
5.201973,0.0725,4,0.01454667,179.9356,N/A
5.222858,0.07250001,4,0.01454667,179.9356,N/A
5.243363,0.07250001,4,0.01454667,179.9356,N/A
5.262818,0.07250001,4,0.01454667,179.9356,N/A
5.282325,0.0725,.4,0.01454667,179.9356,N/A
5.303368,0.0725,.4,0.01454667,179.9356,N/A
5.323339,0.0725,.4,0.01454667,179.9356,N/A
5.342373,0.0725,.4,0.01454667,179.9356,N/A
5.363636,0.0725,.4,0.01454667,179.9356,N/A
5.383057,0.07250001,.4,0.01,186.2069,N/A
5.403372,0.07250001,.4,0.01,186.2069,N/A
5.422828,0.07250001,.4,0.01,186.2069,N/A
5.443336,0.07250001,.4,0.01,186.2069,N/A
5.462316,0.07250001,.4,0.01,186.2069,N/A
5.483472,0.07250001,.4,0.01,186.2069,N/A
5.501853,0.07250001,.4,0.01,186.2069,N/A
5.522833,0.07250001,.4,0.01,186.2069,N/A
5.542323,0.07250001,.4,0.01,186.2069,N/A
5.562445,0.07250001,,0.01,186.2069,N/A
5.582858,0.07250001,,0.01,186.2069,N/A
5.602816,0.07250001,,0.01,186.2069,N/A
5.623342,0.07250001,,0.01,186.2069,N/A
